"Timestamp","Do you currently work in software testing?","Have you previously worked in software testing?","Since leaving testing, do you still work in an Information Technology / Computing based role?","Why did you leave testing?","Were you happy in your most recent testing job?","Would you work in testing again?","Are you happy in your CURRENT testing job?","How likely are you to look for a new testing job within the next 12 months?","How likely are you to look for job outside of testing within the next 12 months?","What do you enjoy about software testing?","What made you apply for your FIRST testing job?","How likely are you to recommend testing as a career to others?","How much testing experience do you have?","Which industries have you tested in?","Did you have a different job before you started testing? ","What is your highest qualification?","Did you study Computing, Computer Science or a computer related subject?","While you were studying did you know you wanted to work in testing?","Have you attended any of the following training courses and if so how were they? [Rapid Software Testing]","Have you attended any of the following training courses and if so how were they? [AST BBST Foundations]","Have you attended any of the following training courses and if so how were they? [AST BBST Bug Advocacy]","Have you attended any of the following training courses and if so how were they? [AST BBST Test Design]","Have you attended any of the following training courses and if so how were they? [ISEB/ISTQB Foundation]","Have you attended any of the following training courses and if so how were they? [ISEB/ISTQB Advanced]","Have you attended any of the following training courses and if so how were they? [ISEB/ISTQB Expert]","In your current (or most recent) testing job, how long did it take you to ""get up to speed""?","Do you believe other testing jobs are better than your current (or most recent) testing job?","Would the thought of having to ""get up to speed"" at a new company put you off applying for another testing job?","The testing expectations placed upon me are achievable.","I feel like part of the team.","I am usually excluded when decisions are made.","Absolutely everyone I work with cares about quality.","There is no automated testing.","My performance is measured using metrics (like total bug count).","I have access to all the tools and resources I require to perform effectively.","I feel my employer values my technical skills.","People don't share important information with me and I am kept in the dark.","I get to work collaboratively with others.","Technical debt is taken seriously and addressed in a timely manner.","I feel there are opportunities for me to progress and take on more responsibility.","In my current workplace I feel people do not appreciate the role testing plays in development.","There are high levels of staff retention and everyone is very loyal to the company.","When I make a decision, I feel my judgment is trusted.","Code frequently breaks in the production environment and need to be fixed or patched.","It is expected that I will work unpaid over-time.","Developers are seen as superior to testers within my organisation","I am forced to sign disclaimers stating software contains no bugs.","My company supports me to attend training courses, workshops or conferences.","I feel like I am making a positive difference.","Management lacks understanding of my role and frequently has unrealistic expectations.","There is not enough time test things to my satisfaction.","I am blamed for missed bugs."
"2016/05/03 10:49:38 PM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Asking questions;Learning new things;Thinking critically;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Seeing the big picture","I studied computing and saw testing as a way to use this knowledge","Very Likely","5 - 10 years","Automotive;Business;Finance;Sales","Yes, I had a different job before I started testing","Masters degree","Yes","No","0","0","0","0","3","1","0","3 months","No","No","True","True","False","True","False","False","False","True","True","True","False","True","False","True","True","False","False","True","True","True","True","False","True","False"
"2016/05/03 10:54:22 PM GMT+1","Yes","","","","","","Yes","Very unlikely","Very unlikely","Overcoming challenges;Improving software quality;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Preventing disaster","I wanted to work with technology and computers;I was unemployed and needed a job;It seemed interesting;I applied so I could relocate;I thought testing would be fun;I thought testing would be better than my previous job;I wanted to work at a specific company and this company advertised testing as an entry level position;I studied computing and saw testing as a way to use this knowledge","Likely","10 - 20 years","Automotive;Finance;Games","Yes, I had a different job before I started testing","A-Levels or equivalent","Yes","No","0","0","0","0","0","0","0","3 months","No","Yes","True","True","False","True","False","False","False","True","False","True","True","True","False","True","True","False","False","False","False","True","True","True","False","False"
"2016/05/03 10:58:37 PM GMT+1","Yes","","","","","","No","Likely","Not sure","Overcoming challenges;Improving software quality;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks;Preventing disaster","I wanted a new challenge;I wanted to work with technology and computers;It seemed interesting;I did not like my previous job;I wanted to work in software development but did not know how to code;I thought testing would be fun;I thought testing would be better than my previous job;I thought testing had good career prospects and progression;My company was trying to hire testers and I wanted to change my role","Unlikely","10 - 20 years","Business;Energy;Finance;Government;Housing / utilities ","Yes, I had a different job before I started testing","Foundation course","No","No","0","0","0","0","3","3","0","1 month","Yes","No","True","False","True","False","True","False","False","False","True","True","False","False","True","True","True","True","False","True","False","False","False","False","False","False"
"2016/05/04 12:27:42 AM GMT+1","Yes","","","","","","Yes","Unlikely","Unlikely","Overcoming challenges;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Helping people","I wanted to work with technology and computers;I was unemployed and needed a job","Likely","5 - 10 years","Travel","Yes, I had a different job before I started testing","Bachelors degree","Yes","Yes","0","0","0","0","0","0","0","6 months","No","No","True","True","False","True","False","False","True","True","False","True","False","True","False","True","True","True","False","True","False","True","True","False","False","False"
"2016/05/04 12:39:55 AM GMT+1","Yes","","","","","","Yes","Very unlikely","Very unlikely","Overcoming challenges;Asking questions;Learning new things;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Helping people","I was unemployed and needed a job","Not sure","10 - 20 years","Business;Communications;Health;Insurance;Pharmaceutical","Yes, I had a different job before I started testing","Bachelors degree","No","No","1","1","1","0","0","0","0","1 month","No","No","True","True","False","True","True","False","True","True","False","True","False","True","False","True","True","False","False","True","False","True","True","False","True","False"
"2016/05/04 12:50:07 AM GMT+1","Yes","","","","","","Yes","Very unlikely","Very unlikely","Asking questions;Learning new things;Thinking critically;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks;Preventing disaster","Knew how to code but I did not want to work as a developer;I studied computing and saw testing as a way to use this knowledge","Likely","2 - 5 years","Finance","Yes, I had a different job before I started testing","A-Levels or equivalent","Yes","No","5","4","0","0","0","0","0","3 months","Yes","No","True","True","False","True","False","False","True","True","False","True","True","True","False","True","True","False","False","False","False","True","True","False","False","False"
"2016/05/04 4:18:17 AM GMT+1","Yes","","","","","","No","Not sure","Very unlikely","Overcoming challenges;Learning new things;Thinking critically;Solving problems;Working in a team;Generating new ideas;Seeing the big picture;Working on a variety of different tasks","It seemed interesting","Not sure","5 - 10 years","Business;Finance;Pharmaceutical;Social Media","Yes, I had a different job before I started testing","Bachelors degree","Yes","No","4","0","0","0","0","0","0","3 months","Yes","No","False","False","True","False","True","False","False","True","True","False","False","False","True","True","False","True","False","True","False","True","False","True","True","False"
"2016/05/04 7:24:45 AM GMT+1","No","Yes","Yes I still work in Information Technology / Computing","Redundancy;Relationship with boss;Bored and unchallenged;No job satisfaction","Yes","Yes","","","","Improving software quality;Asking questions;Finding defects;Thinking critically;Solving problems;Generating new ideas;Helping people;Working on a variety of different tasks","Someone who was not a tester recommended testing to me","Likely","10 - 20 years","Business;Electronics;Games;Social Media","No, my very first job was a testing job.","Bachelors degree","No","No","5","4","5","3","0","0","0","3 months","No","No","True","True","True","False","True","True","True","False","False","True","False","True","True","False","False","False","False","True","False","True","False","True","True","True"
"2016/05/04 8:30:43 AM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Overcoming challenges;Improving software quality;Asking questions;Learning new things;Thinking critically;Solving problems;Working in a team;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks;Persuading people","Testing paid a higher salary than my previous job;I wanted to work in software development but did not know how to code;I applied because the job advert stated no experience necessary","Likely","10 - 20 years","Business;Communications;Finance;Government;Insurance","Yes, I had a different job before I started testing","Bachelors degree","No","No","5","0","0","0","2","0","0","1 month","No","No","True","True","False","True","False","False","True","True","False","True","True","True","False","True","True","False","False","True","False","True","True","False","True","False"
"2016/05/04 9:08:35 AM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Overcoming challenges;Improving software quality;Finding defects;Learning new things;Solving problems;Identifying new problems;Assessing and managing risks;Generating new ideas;Gaining expert knowledge of a product;Working on a variety of different tasks","I was unemployed and needed a job","Very Likely","2 - 5 years","Automotive;Business;Games","Yes, I had a different job before I started testing","A-Levels or equivalent","No","No","0","0","0","0","0","0","0","1 month","No","No","True","True","False","True","False","False","True","True","False","True","True","True","False","False","True","True","False","False","False","True","True","False","True","False"
